pair,layer,cosine
a_psr_probe vs psr_all_layer_probe_mse,7,0.2123
a_psr_probe vs psr_all_layer_probe_mse,14,0.3096
a_psr_probe vs psr_all_layer_probe_mse,18,0.2614
a_psr_probe vs psr_all_layer_probe_mse,22,0.1898
a_psr_probe vs psr_all_layer_probe_nll,7,0.0361
a_psr_probe vs psr_all_layer_probe_nll,14,0.0581
a_psr_probe vs psr_all_layer_probe_nll,18,0.0772
a_psr_probe vs psr_all_layer_probe_nll,22,0.1284
a_psr_probe vs psr_multi_gate_conceptor_probe_mse,7,0.4720
a_psr_probe vs psr_multi_gate_conceptor_probe_mse,14,0.3749
a_psr_probe vs psr_multi_gate_conceptor_probe_mse,18,0.4032
a_psr_probe vs psr_multi_gate_conceptor_probe_mse,22,0.4490
a_psr_probe vs psr_multi_gate_conceptor_probe_nll,7,0.4720
a_psr_probe vs psr_multi_gate_conceptor_probe_nll,14,0.3749
a_psr_probe vs psr_multi_gate_conceptor_probe_nll,18,0.4032
a_psr_probe vs psr_multi_gate_conceptor_probe_nll,22,0.4490
a_psr_probe vs psr_multi_gate_probe_mse,7,0.3871
a_psr_probe vs psr_multi_gate_probe_mse,14,0.3411
a_psr_probe vs psr_multi_gate_probe_mse,18,0.3813
a_psr_probe vs psr_multi_gate_probe_mse,22,0.4417
a_psr_probe vs psr_multi_gate_probe_nll,7,0.3871
a_psr_probe vs psr_multi_gate_probe_nll,14,0.3411
a_psr_probe vs psr_multi_gate_probe_nll,18,0.3813
a_psr_probe vs psr_multi_gate_probe_nll,22,0.4417
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,0,0.1943
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,1,0.2968
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,2,0.3969
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,3,0.1548
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,4,0.2243
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,5,0.3780
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,6,0.1627
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,7,0.3535
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,8,0.2677
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,9,0.1599
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,10,0.5112
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,11,0.2924
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,12,0.4941
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,13,0.4175
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,14,0.2813
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,15,0.4360
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,16,0.1158
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,17,0.2144
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,18,0.2869
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,19,0.0685
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,20,0.1897
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,21,0.0764
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,22,0.0731
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,23,0.0756
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,24,0.0342
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,25,0.0474
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,26,0.0231
psr_all_layer_probe_mse vs psr_all_layer_probe_nll,27,-0.0407
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,0,0.1078
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,1,0.1390
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,2,0.0855
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,3,0.2392
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,4,0.1531
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,5,0.2089
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,6,0.1420
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,7,0.1759
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,8,0.1653
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,9,0.1998
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,10,0.2050
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,11,0.1399
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,12,0.1566
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,13,0.2284
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,14,0.3099
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,15,0.2270
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,16,0.2432
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,17,0.3250
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,18,0.2436
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,19,0.3385
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,20,0.1938
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,21,0.0983
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,22,0.1802
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,23,0.1117
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,24,0.1153
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,25,0.0431
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,26,0.0144
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_mse,27,0.0552
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,0,0.1078
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,1,0.1390
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,2,0.0855
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,3,0.2392
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,4,0.1531
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,5,0.2089
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,6,0.1420
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,7,0.1759
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,8,0.1653
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,9,0.1998
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,10,0.2050
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,11,0.1399
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,12,0.1566
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,13,0.2284
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,14,0.3099
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,15,0.2270
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,16,0.2432
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,17,0.3250
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,18,0.2436
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,19,0.3385
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,20,0.1938
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,21,0.0983
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,22,0.1802
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,23,0.1117
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,24,0.1153
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,25,0.0431
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,26,0.0144
psr_all_layer_probe_mse vs psr_multi_gate_conceptor_probe_nll,27,0.0552
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,0,0.0280
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,1,0.0782
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,2,0.0602
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,3,0.1572
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,4,0.1226
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,5,0.1726
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,6,0.1253
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,7,0.1562
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,8,0.1468
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,9,0.1809
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,10,0.1915
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,11,0.1243
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,12,0.1536
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,13,0.2299
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,14,0.3003
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,15,0.2198
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,16,0.2359
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,17,0.3143
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,18,0.2372
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,19,0.3296
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,20,0.1892
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,21,0.0970
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,22,0.1772
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,23,0.1110
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,24,0.1144
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,25,0.0434
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,26,0.0144
psr_all_layer_probe_mse vs psr_multi_gate_probe_mse,27,0.0499
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,0,0.0280
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,1,0.0782
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,2,0.0602
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,3,0.1572
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,4,0.1226
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,5,0.1726
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,6,0.1253
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,7,0.1562
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,8,0.1468
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,9,0.1809
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,10,0.1915
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,11,0.1243
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,12,0.1536
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,13,0.2299
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,14,0.3003
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,15,0.2198
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,16,0.2359
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,17,0.3143
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,18,0.2372
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,19,0.3296
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,20,0.1892
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,21,0.0970
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,22,0.1772
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,23,0.1110
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,24,0.1144
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,25,0.0434
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,26,0.0144
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,27,0.0499
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,0,-0.0263
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,1,0.0306
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,2,0.0393
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,3,0.0478
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,4,0.0363
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,5,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,6,0.0254
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,7,0.0756
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,8,0.0394
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,9,-0.0074
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,10,0.0885
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,11,0.0799
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,12,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,13,0.0754
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,14,0.0405
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,15,0.1167
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,16,0.0114
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,17,0.0333
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,18,0.1070
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,19,0.0217
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,20,0.1017
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,21,0.0278
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,22,0.0624
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,23,0.0372
