,psr_proper_probe,psr_conceptor_probe,psr_probe,a_psr_probe@L14,psr_all_layer_probe_mse@L14,psr_all_layer_probe_nll@L14,psr_multi_gate_probe_mse@L14,psr_multi_gate_probe_nll@L14,psr_multi_gate_conceptor_probe_mse@L14,psr_multi_gate_conceptor_probe_nll@L14,const,stolfo
psr_proper_probe,1.0000,0.2045,0.1584,0.1584,0.3105,0.2939,0.2016,0.2016,0.2141,0.2141,0.2008,0.1971
psr_conceptor_probe,0.2045,1.0000,0.3395,0.3395,0.3083,0.0519,0.7626,0.7626,0.7914,0.7914,0.7495,0.9560
psr_probe,0.1584,0.3395,1.0000,1.0000,0.3096,0.0581,0.3411,0.3411,0.3749,0.3749,0.2846,0.2966
a_psr_probe@L14,0.1584,0.3395,1.0000,1.0000,0.3096,0.0581,0.3411,0.3411,0.3749,0.3749,0.2846,0.2966
psr_all_layer_probe_mse@L14,0.3105,0.3083,0.3096,0.3096,1.0000,0.2813,0.3003,0.3003,0.3099,0.3099,0.2923,0.2997
psr_all_layer_probe_nll@L14,0.2939,0.0519,0.0581,0.0581,0.2813,1.0000,0.0355,0.0355,0.0405,0.0405,0.0496,0.0471
psr_multi_gate_probe_mse@L14,0.2016,0.7626,0.3411,0.3411,0.3003,0.0355,1.0000,1.0000,0.9812,0.9812,0.6112,0.7950
psr_multi_gate_probe_nll@L14,0.2016,0.7626,0.3411,0.3411,0.3003,0.0355,1.0000,1.0000,0.9812,0.9812,0.6112,0.7950
psr_multi_gate_conceptor_probe_mse@L14,0.2141,0.7914,0.3749,0.3749,0.3099,0.0405,0.9812,0.9812,1.0000,1.0000,0.6235,0.7951
psr_multi_gate_conceptor_probe_nll@L14,0.2141,0.7914,0.3749,0.3749,0.3099,0.0405,0.9812,0.9812,1.0000,1.0000,0.6235,0.7951
const,0.2008,0.7495,0.2846,0.2846,0.2923,0.0496,0.6112,0.6112,0.6235,0.6235,1.0000,0.7572
stolfo,0.1971,0.9560,0.2966,0.2966,0.2997,0.0471,0.7950,0.7950,0.7951,0.7951,0.7572,1.0000
